GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,forestPct,devPct,sumCarPeKm,pct_nonWhi,categ
130659702002,55.45,28.811,0,0.388,84.649,5.167,27.214,63.837,Majority white
130099701012,43.552,9.93,0.906,17.11,71.498,18.485,33.27,63.83,Majority white
132437902001,47.891,3.808,2.891,23.598,78.188,3.567,28.739,63.83,Majority white
370919503001,24.038,15.733,4.219,10.03,54.02,12.665,32.319,63.82,Majority white
371319202012,30.646,18.077,1.712,7.854,58.289,20.229,31.804,63.8,Majority white
450750118041,33.658,17.621,0.145,13.838,65.262,10.189,24.708,63.763,Majority white
450850005002,11.421,32.816,0.284,9.98,54.501,10.271,22.313,63.751,Majority white
450899707001,26.502,28.026,0.702,9.46,64.69,7.669,25.065,63.702,Majority white
450299706021,22.847,28.551,0.295,1.327,53.02,36.327,37.494,63.564,Majority white
131639603006,36.763,15.23,1.729,15.812,69.534,7.241,26.982,63.455,Majority white
131210103091,18.555,2.439,36.424,9.488,66.906,25.283,38.217,63.425,Majority white
370839307022,32.983,2.229,12.731,14.032,61.975,23.31,36.69,63.312,Majority white
450059702021,34.873,14.903,6,6.968,62.744,6.169,34.571,63.215,Majority white
370079206002,34.646,6.016,4.467,19.35,64.479,11.031,29.51,63.169,Majority white
450059705004,40.814,26.443,1.699,8.823,77.779,5.373,37.967,63.165,Majority white
130279604001,18.596,17.3,0.536,16.537,52.969,7.138,18.447,63.053,Majority white
450659202002,52.423,2.796,2.663,18.102,75.984,13.541,35.255,63.034,Majority white
130379501001,29.261,25.641,0.259,8.927,64.088,3.879,23.561,63.01,Majority white
370179506011,9.353,12.742,5.192,24.579,51.866,18.956,28.358,62.803,Majority white
370779702003,19.16,1.044,20.09,13.042,53.336,32.284,32.771,62.749,Majority white
450150204052,29.76,31.668,1.057,16.825,79.31,11.472,44.398,62.726,Majority white
132731204001,28.663,18.356,0.258,9.956,57.233,5.483,17.991,62.622,Majority white
450099602023,29.686,26.515,2.052,10.653,68.906,10.398,30.729,62.621,Majority white
370479301002,36.382,10.566,4.637,4.834,56.419,23.581,26.656,62.5,Majority white
371239604011,39.407,1.433,12.998,15.885,69.723,16.149,35.89,62.477,Majority white
370159602002,39.696,12.334,4.754,10.384,67.168,5.913,33.294,62.441,Majority white
133159601003,36.951,11.94,0.931,8.633,58.455,19.049,19.74,62.349,Majority white
130630406362,19.263,9.729,16.861,8.117,53.97,25.646,31.485,62.34,Majority white
450899705011,18.275,30.513,0.995,6.971,56.754,11.371,25.59,62.321,Majority white
371190056161,5.01,1.13,37.479,9.6,53.219,40.123,52.566,62.294,Majority white
450439202022,23.223,47.673,0.13,4.241,75.267,16.223,39.605,62.257,Majority white
131790104012,41.132,28.616,0.082,4.992,74.822,16.119,34.426,62.168,Majority white
371270109001,30.894,4.034,8.325,23.593,66.846,8.347,32.712,62.111,Majority white
131930001002,18.69,13.99,1.015,21.369,55.064,5.385,27.383,62.037,Majority white
130439501002,22.884,26.755,0.958,3.331,53.928,23.605,25.083,62.028,Majority white
450119702003,31.476,17.548,1.84,3.267,54.131,12.942,25.589,61.996,Majority white
132519704022,31.718,15.152,9.721,3.68,60.271,20.481,30.069,61.935,Majority white
370079205011,44.467,1.26,6.446,21.083,73.256,14.741,30.429,61.864,Majority white
450299703021,29.458,34.203,1.41,8.356,73.427,13.339,35.473,61.814,Majority white
130879708001,43.016,12.378,8.962,12.654,77.01,8.987,37.99,61.8,Majority white
133039504001,52.115,7.567,0.037,8.721,68.44,12.305,25.463,61.763,Majority white
450899705012,15.798,32.952,0.455,6.558,55.763,8.168,25.612,61.634,Majority white
130339501021,27.365,13.1,1.238,8.913,50.616,10.932,18.561,61.451,Majority white
450399605011,40.663,2.929,7.257,22.549,73.398,14.913,35.07,61.431,Majority white
132639602002,32.668,4.279,16.412,28.831,82.19,10.695,37.649,61.36,Majority white
450750105004,24.08,25.679,0.684,6.148,56.591,9.434,20.325,61.218,Majority white
370479303001,30.619,24.749,1.066,8.901,65.335,11.309,33.531,61.18,Majority white
132799701012,39.215,15.49,0.456,7.482,62.643,13.914,22.021,61.169,Majority white
370690604042,18.301,6.295,16.95,11.015,52.561,31.971,37.206,61.093,Majority white
132379602032,16.101,3.035,15.708,44.694,79.538,11.361,43.714,61.077,Majority white
131930003002,29.572,28.463,0.24,4.968,63.243,18.407,34.304,61.013,Majority white
131679602012,25.707,18.826,1.801,12.362,58.696,12.919,20.973,60.971,Majority white
450479708021,32.015,2.794,4.858,11.538,51.205,37.632,17.277,60.938,Majority white
130970804082,23.31,7.643,17.405,3.026,51.384,37.878,39.63,60.874,Majority white
450659202005,39.525,0.708,2.368,20.474,63.075,17.338,41.157,60.85,Majority white
450790118012,16.48,24.007,0.292,11.159,51.938,33.794,35.858,60.793,Majority white
132437902002,31.819,7.676,0.735,16.726,56.956,5.747,22.063,60.786,Majority white
370339302004,8.627,2.099,37.759,9.566,58.051,36.802,38.366,60.763,Majority white
131339502002,41.042,2.516,9.064,20.584,73.206,16.809,37.005,60.748,Majority white
450399603012,49.656,3.067,8.454,16.331,77.508,12.659,36.869,60.631,Majority white
450899709001,43.503,20.305,1.409,11.083,76.3,7.418,33.548,60.425,Majority white
132890602001,27.901,33.203,0.536,17.556,79.196,6.638,45.245,60.413,Majority white
450499203002,25.009,41.173,2.768,7.142,76.092,14.674,35.513,60.323,Majority white
130690108022,28.573,17.117,1.263,5.902,52.855,14.299,21.889,60.217,Majority white
133039505001,34.777,11.97,0.21,16.158,63.115,5.389,30.06,60.181,Majority white
130990902001,26.603,14.143,1.425,10.344,52.515,5.017,19.943,60.139,Majority white
450379702042,48.679,1.648,2.644,20.468,73.439,18.952,32.895,60.127,Majority white
131390007041,0.65,0.773,56.869,2.05,60.342,38.193,48.101,60.035,Majority white
450499203001,44.052,22.556,1.805,6.538,74.951,9.852,31.978,60,Majority white
450750106011,28.731,18.923,0.335,9.302,57.291,8.484,22.379,59.981,Majority white
371179704003,26.501,9.449,5.558,11.363,52.871,5.96,27.386,59.966,Majority white
450479707021,31.968,6.682,7.154,7.225,53.029,33.427,30.054,59.95,Majority white
450750116003,16.616,34.214,2.342,2.321,55.493,24.251,30.583,59.865,Majority white
450539502011,35.698,28.402,0.299,3.903,68.302,25.293,41.888,59.857,Majority white
450299708001,10.18,54.047,3.188,7.873,75.288,2.801,31.955,59.59,Majority white
450190024022,32.945,39.881,0.12,5.873,78.819,12.355,36.987,59.527,Majority white
131999708013,22.887,11.534,9.004,19.995,63.42,14.275,25.004,59.38,Majority white
450790102003,24.912,3.242,11.976,24.155,64.285,27.66,43.065,59.332,Majority white
450439202042,30.791,18.016,0.038,2.332,51.177,37.759,25.598,59.241,Majority white
371319203022,27.478,8.755,1.009,22.415,59.657,9.716,29.021,59.227,Majority white
370939701043,41.177,9.633,0.335,4.358,55.503,24.364,26.7,59.195,Majority white
130919603013,38.741,12.825,0.654,4.368,56.588,33.264,23.362,59.195,Majority white
450539503023,24.983,36.339,1.503,4.219,67.044,27.906,41.685,59.095,Majority white
132679502021,15.717,31.571,0.04,13.852,61.18,7.183,30.818,59.084,Majority white
450750119004,39.536,21.435,0.639,10.06,71.67,13.812,33.371,58.939,Majority white
450030218003,30.179,17.681,0.089,12.724,60.673,8.312,21.68,58.921,Majority white
131679602021,40.952,14.715,0.428,9.641,65.736,14.271,21.686,58.861,Majority white
370779705001,16.766,4.405,23.308,11.603,56.082,30.082,34.967,58.827,Majority white
450790114121,43.118,7.919,0.023,9.431,60.491,37.187,42.556,58.771,Majority white
371559601012,5.704,44.342,0.083,0.135,50.264,25.018,25.917,58.753,Majority white
370159604012,21.684,16.555,8.121,11.125,57.485,20.348,35.898,58.749,Majority white
371859504002,24.272,4.761,14.575,12.286,55.894,19.631,29.286,58.713,Majority white
371179704001,5.462,46.81,7.811,6.484,66.567,4.566,56.59,58.688,Majority white
370179502001,29.116,25.694,4.541,11.905,71.256,14.81,31.825,58.664,Majority white
370919502021,28.71,9.945,18.377,7.414,64.446,18.277,36.571,58.56,Majority white
450539503022,22.731,30.849,0.474,1.921,55.975,41.69,47.3,58.555,Majority white
130919604003,44.193,8.262,1.38,2.177,56.012,33.881,26.32,58.516,Majority white
371650106012,21.731,28.736,0.216,7.209,57.892,17.638,30.87,58.484,Majority white
450790120002,38.789,2.841,0.477,8.204,50.311,36.567,26.009,58.254,Majority white
450350104001,27.741,30.422,0.438,13.577,72.178,18.482,33.759,58.087,Majority white
450679508001,27.421,41.776,0.775,5.619,75.591,9.099,35.109,58.074,Majority white
131979202003,34.429,2.237,0.662,18.596,55.924,34.854,33.066,58.043,Majority white
130970806024,4.59,3.432,54.318,3.813,66.153,31.231,45.988,58.022,Majority white
